game_id,pair_id,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
40,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,488.4216,17900.3,27.1345,994.4611,1251,4360,69.5,242.22,False
41,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,486.2261,17797.4302,27.0126,988.7461,1251,4360,69.5,242.22,False
42,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,485.7023,17807.7141,26.9835,989.3174,1251,4360,69.5,242.22,False
43,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,482.4613,17795.5245,26.8034,988.6403,1251,4360,69.5,242.22,False
44,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,481.8429,17905.447,26.7691,994.7471,1251,4360,69.5,242.22,False
45,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,485.4805,17834.6601,26.9711,990.8144,1251,4360,69.5,242.22,False
46,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,481.5929,17813.6763,26.7552,989.6487,1251,4360,69.5,242.22,False
47,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,482.0469,17837.3755,26.7804,990.9653,1251,4360,69.5,242.22,False
48,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,485.0185,17848.8765,26.9455,991.6043,1251,4360,69.5,242.22,False
49,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,480.1114,17781.406,26.6729,987.8559,1251,4360,69.5,242.22,False
50,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,482.7293,17838.7509,26.8183,991.0417,1251,4360,69.5,242.22,False
51,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,480.6982,17836.1021,26.7055,990.8946,1251,4360,69.5,242.22,False
52,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,486.7866,17929.572,27.0437,996.0873,1251,4360,69.5,242.22,False
53,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,484.9008,17858.6257,26.9389,992.1459,1251,4360,69.5,242.22,False
54,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,484.9158,17822.671,26.9398,990.1484,1251,4360,69.5,242.22,False
55,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,481.3245,17805.4979,26.7402,989.1943,1251,4360,69.5,242.22,False
56,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,486.065,17887.0003,27.0036,993.7222,1251,4360,69.5,242.22,False
57,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,485.6556,17853.56,26.9809,991.8644,1251,4360,69.5,242.22,False
58,Easy_vs_Medium,Easy,Medium,white,Medium,loss,36,482.3192,17882.0537,26.7955,993.4474,1251,4360,69.5,242.22,False
