ai_1,ai_2,games,ai_1_wins,ai_2_wins,draws,ai_1_win_rate,ai_2_win_rate,ai_1_score_rate,ai_2_score_rate,avg_moves,avg_time_per_move_ai_1,avg_time_per_move_ai_2
Easy,Hard,50,20,30,0,0.4,0.6,0.4,0.6,11.46,14.6497,1044.9512
Easy,Medium,50,20,30,0,0.4,0.6,0.4,0.6,11.5,12.1445,4383.0753
Medium,Hard,50,25,20,5,0.5,0.4,0.55,0.45,12.66,9842.2746,1522.1554
