game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
54,Easy_vs_Hard,O4_length_pressure_mirror_white,Easy,Hard,white,Hard,loss,7,18.847,1315.6601,6.2823,328.915,161,749,53.67,187.25,False
55,Easy_vs_Hard,O5_center_space_black,Easy,Hard,white,Hard,loss,26,245.1979,18722.9565,18.8614,1440.2274,1174,4125,90.31,317.31,False
56,Easy_vs_Hard,O6_center_space_white,Easy,Hard,white,Hard,loss,31,334.4608,28186.1931,22.2974,1761.6371,1403,5536,93.53,346.0,False
57,Easy_vs_Hard,O7_complex_midgame_black,Easy,Hard,black,Easy,win,3,12.9731,316.5427,6.4865,316.5427,108,160,54.0,160.0,False
58,Easy_vs_Hard,O8_complex_midgame_white,Easy,Hard,white,Hard,loss,3,6.4861,666.3124,6.4861,333.1562,54,271,54.0,135.5,False
59,Easy_vs_Hard,O9_complex_midgame_mirror_black,Easy,Hard,black,Easy,win,3,13.3914,311.7966,6.6957,311.7966,108,160,54.0,160.0,False
60,Easy_vs_Hard,O10_complex_midgame_mirror_white,Easy,Hard,white,Hard,loss,3,7.1234,680.0371,7.1234,340.0186,54,271,54.0,135.5,False
61,Easy_vs_Hard,O1_length_pressure_black,Easy,Hard,black,Easy,win,13,70.1941,3312.2905,10.0277,552.0484,461,1169,65.86,194.83,False
62,Easy_vs_Hard,O2_length_pressure_white,Easy,Hard,white,Hard,loss,7,19.2922,1310.2363,6.4307,327.5591,161,749,53.67,187.25,False
63,Easy_vs_Hard,O3_length_pressure_mirror_black,Easy,Hard,black,Easy,win,13,68.4205,3269.6738,9.7744,544.9456,461,1169,65.86,194.83,False
64,Easy_vs_Hard,O4_length_pressure_mirror_white,Easy,Hard,white,Hard,loss,7,19.1675,1282.6488,6.3892,320.6622,161,749,53.67,187.25,False
65,Easy_vs_Hard,O5_center_space_black,Easy,Hard,white,Hard,loss,26,241.983,18671.0144,18.6141,1436.2319,1174,4125,90.31,317.31,False
66,Easy_vs_Hard,O6_center_space_white,Easy,Hard,white,Hard,loss,31,331.488,28298.8138,22.0992,1768.6759,1403,5536,93.53,346.0,False
67,Easy_vs_Hard,O7_complex_midgame_black,Easy,Hard,black,Easy,win,3,13.0016,326.5278,6.5008,326.5278,108,160,54.0,160.0,False
68,Easy_vs_Hard,O8_complex_midgame_white,Easy,Hard,white,Hard,loss,3,6.7155,705.8674,6.7155,352.9337,54,271,54.0,135.5,False
69,Easy_vs_Hard,O9_complex_midgame_mirror_black,Easy,Hard,black,Easy,win,3,14.1122,312.456,7.0561,312.456,108,160,54.0,160.0,False
70,Easy_vs_Hard,O10_complex_midgame_mirror_white,Easy,Hard,white,Hard,loss,3,6.6732,718.5501,6.6732,359.2751,54,271,54.0,135.5,False
71,Easy_vs_Hard,O1_length_pressure_black,Easy,Hard,black,Easy,win,13,69.2243,3318.5369,9.8892,553.0895,461,1169,65.86,194.83,False
