game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
1,Easy_vs_Medium,O1_central_cross_black,Easy,Medium,white,Medium,loss,24,163.7165,47403.432,13.643,3950.286,848,30693,70.67,2557.75,False
2,Easy_vs_Medium,O2_central_cross_variant_white,Easy,Medium,white,Medium,loss,11,44.7238,20161.1533,8.9448,3360.1922,300,28041,60.0,4673.5,False
3,Easy_vs_Medium,O3_wide_center_variant_black,Easy,Medium,black,Easy,win,3,15.6786,1570.104,7.8393,1570.104,142,289,71.0,289.0,False
4,Easy_vs_Medium,O4_wide_center_white,Easy,Medium,white,Medium,loss,7,26.8715,8177.4536,8.9572,2044.3634,220,11570,73.33,2892.5,False
5,Easy_vs_Medium,O5_offset_tension_mirror_variant_black,Easy,Medium,white,Medium,loss,12,59.6122,20911.9189,9.9354,3485.3198,399,22722,66.5,3787.0,False
6,Easy_vs_Medium,O6_diagonal_balance_variant_white,Easy,Medium,white,Medium,loss,3,7.3486,2597.5055,7.3486,1298.7527,65,4304,65.0,2152.0,False
7,Easy_vs_Medium,O7_offset_tension_mirror_black,Easy,Medium,white,Medium,loss,12,54.468,18301.568,9.078,3050.2613,387,21513,64.5,3585.5,False
8,Easy_vs_Medium,O8_diagonal_balance_mirror_white,Easy,Medium,white,Medium,loss,29,258.2876,128945.0866,18.4491,8596.3391,1144,108275,81.71,7218.33,False
9,Easy_vs_Medium,O9_central_cross_variant_black,Easy,Medium,white,Medium,loss,24,198.8434,69605.8715,16.5703,5800.4893,938,61153,78.17,5096.08,False
10,Easy_vs_Medium,O10_diagonal_balance_white,Easy,Medium,white,Medium,loss,29,258.1207,129291.4743,18.4372,8619.4316,1144,108275,81.71,7218.33,False
11,Easy_vs_Medium,O1_central_cross_black,Easy,Medium,white,Medium,loss,24,164.287,46442.4423,13.6906,3870.2035,848,30693,70.67,2557.75,False
12,Easy_vs_Medium,O2_central_cross_variant_white,Easy,Medium,white,Medium,loss,11,44.4345,19668.2099,8.8869,3278.035,300,28041,60.0,4673.5,False
13,Easy_vs_Medium,O3_wide_center_variant_black,Easy,Medium,black,Easy,win,3,15.7672,1408.4988,7.8836,1408.4988,142,289,71.0,289.0,False
14,Easy_vs_Medium,O4_wide_center_white,Easy,Medium,white,Medium,loss,7,26.0435,7760.066,8.6812,1940.0165,220,11570,73.33,2892.5,False
