ai_1,ai_2,games,ai_1_wins,ai_2_wins,draws,ai_1_win_rate,ai_2_win_rate,ai_1_score_rate,ai_2_score_rate,avg_moves,avg_time_per_move_ai_1,avg_time_per_move_ai_2
Easy,Hard,200,40,160,0,0.2,0.8,0.2,0.8,20.9,20.7677,3466.3482
Easy,Medium,200,20,180,0,0.1,0.9,0.1,0.9,13.6,12.8172,5038.6337
Medium,Hard,200,70,120,10,0.35,0.6,0.375,0.625,18.2,7107.1192,2836.4525
