game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
80,Easy_vs_Hard,O5_offset_tension_mirror_variant_black,Hard,Easy,black,Hard,win,9,13200.8805,37.3704,2640.1761,9.3426,26832,263,5366.4,65.75,False
81,Easy_vs_Hard,O6_diagonal_balance_variant_white,Hard,Easy,white,Easy,loss,3,830.0103,13.6887,830.0103,6.8444,254,125,254.0,62.5,False
82,Easy_vs_Hard,O7_offset_tension_mirror_black,Hard,Easy,black,Hard,win,11,14288.5725,46.8218,2381.4288,9.3644,26239,324,4373.17,64.8,False
83,Easy_vs_Hard,O8_diagonal_balance_mirror_white,Hard,Easy,black,Hard,win,6,5427.2687,19.1745,1809.0896,6.3915,13760,180,4586.67,60.0,False
84,Easy_vs_Hard,O9_central_cross_variant_black,Hard,Easy,black,Hard,win,13,18727.5618,61.1598,2675.366,10.1933,29166,372,4166.57,62.0,False
85,Easy_vs_Hard,O10_diagonal_balance_white,Hard,Easy,black,Hard,win,6,5383.2795,19.6144,1794.4265,6.5381,13760,180,4586.67,60.0,False
86,Easy_vs_Hard,O1_central_cross_black,Hard,Easy,black,Hard,win,19,29588.195,99.9401,2958.8195,11.1045,39506,562,3950.6,62.44,False
87,Easy_vs_Hard,O2_central_cross_variant_white,Hard,Easy,black,Hard,win,16,23492.7188,95.2039,2936.5899,11.9005,30097,541,3762.12,67.62,False
88,Easy_vs_Hard,O3_wide_center_variant_black,Hard,Easy,black,Hard,win,3,3511.1261,8.0698,1755.563,8.0698,11020,71,5510.0,71.0,False
89,Easy_vs_Hard,O4_wide_center_white,Hard,Easy,black,Hard,win,10,8821.3757,44.1824,1764.2751,8.8365,11786,323,2357.2,64.6,False
90,Easy_vs_Hard,O5_offset_tension_mirror_variant_black,Hard,Easy,black,Hard,win,9,13716.9905,37.55,2743.3981,9.3875,26832,263,5366.4,65.75,False
91,Easy_vs_Hard,O6_diagonal_balance_variant_white,Hard,Easy,white,Easy,loss,3,907.0272,14.2535,907.0272,7.1268,254,125,254.0,62.5,False
92,Easy_vs_Hard,O7_offset_tension_mirror_black,Hard,Easy,black,Hard,win,11,14644.3786,47.0825,2440.7298,9.4165,26239,324,4373.17,64.8,False
93,Easy_vs_Hard,O8_diagonal_balance_mirror_white,Hard,Easy,black,Hard,win,6,5591.9182,18.8848,1863.9727,6.2949,13760,180,4586.67,60.0,False
94,Easy_vs_Hard,O9_central_cross_variant_black,Hard,Easy,black,Hard,win,13,19050.8809,61.553,2721.5544,10.2588,29166,372,4166.57,62.0,False
95,Easy_vs_Hard,O10_diagonal_balance_white,Hard,Easy,black,Hard,win,6,5689.3097,18.8984,1896.4366,6.2995,13760,180,4586.67,60.0,False
96,Easy_vs_Hard,O1_central_cross_black,Hard,Easy,black,Hard,win,19,29578.679,109.6299,2957.8679,12.1811,39506,562,3950.6,62.44,False
97,Easy_vs_Hard,O2_central_cross_variant_white,Hard,Easy,black,Hard,win,16,23773.783,95.8217,2971.7229,11.9777,30097,541,3762.12,67.62,False
98,Easy_vs_Hard,O3_wide_center_variant_black,Hard,Easy,black,Hard,win,3,3558.8598,8.354,1779.4299,8.354,11020,71,5510.0,71.0,False
99,Easy_vs_Hard,O4_wide_center_white,Hard,Easy,black,Hard,win,10,8945.5631,43.6225,1789.1126,8.7245,11786,323,2357.2,64.6,False
100,Easy_vs_Hard,O5_offset_tension_mirror_variant_black,Hard,Easy,black,Hard,win,9,13627.6888,37.6385,2725.5378,9.4096,26832,263,5366.4,65.75,False
101,Medium_vs_Hard,O1_central_cross_black,Medium,Hard,black,Medium,win,11,7620.7351,8174.0517,1270.1225,1634.8103,1928,11788,321.33,2357.6,False
102,Medium_vs_Hard,O2_central_cross_variant_white,Medium,Hard,white,Hard,loss,15,12398.0919,23081.1716,1771.156,2885.1465,2651,34857,378.71,4357.12,False
103,Medium_vs_Hard,O3_wide_center_variant_black,Medium,Hard,black,Medium,win,3,2576.0133,997.3198,1288.0067,997.3198,555,278,277.5,278.0,False
104,Medium_vs_Hard,O4_wide_center_white,Medium,Hard,black,Medium,win,12,9348.6471,12134.983,1558.1078,2022.4972,2228,24099,371.33,4016.5,False
