ai_1,ai_2,games,ai_1_wins,ai_2_wins,draws,ai_1_win_rate,ai_2_win_rate,ai_1_score_rate,ai_2_score_rate,avg_moves,avg_time_per_move_ai_1,avg_time_per_move_ai_2
Easy,Hard,50,12,38,0,0.24,0.76,0.24,0.76,9.74,10.0341,2460.6379
Easy,Medium,50,9,41,0,0.18,0.82,0.18,0.82,19.96,26.7247,4441.7368
Medium,Hard,50,20,27,3,0.4,0.54,0.43,0.57,16.08,2859.5458,6297.4282
