game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
1,Easy_vs_Medium,O1_length_pressure_black,Easy,Medium,black,Easy,win,13,137.7337,4647.8007,19.6762,774.6334,460,1168,65.71,194.67,False
2,Easy_vs_Medium,O2_length_pressure_white,Easy,Medium,white,Medium,loss,13,116.4807,5634.3811,19.4135,804.9116,390,1290,65.0,184.29,False
3,Easy_vs_Medium,O3_length_pressure_mirror_black,Easy,Medium,black,Easy,win,13,135.3967,4635.7586,19.3424,772.6264,460,1168,65.71,194.67,False
4,Easy_vs_Medium,O4_length_pressure_mirror_white,Easy,Medium,white,Medium,loss,13,116.094,5627.6021,19.349,803.9432,390,1290,65.0,184.29,False
5,Easy_vs_Medium,O5_center_space_black,Easy,Medium,black,Easy,win,27,588.7373,26728.5756,42.0527,2056.0443,1275,3793,91.07,291.77,False
6,Easy_vs_Medium,O6_center_space_white,Easy,Medium,white,Medium,loss,23,408.0672,24762.2697,37.097,2063.5225,1040,3684,94.55,307.0,False
7,Easy_vs_Medium,O7_complex_midgame_black,Easy,Medium,black,Easy,win,3,26.4638,430.6135,13.2319,430.6135,111,163,55.5,163.0,False
8,Easy_vs_Medium,O8_complex_midgame_white,Easy,Medium,white,Medium,loss,15,187.5263,9398.4637,26.7895,1174.808,499,2158,71.29,269.75,False
9,Easy_vs_Medium,O9_complex_midgame_mirror_black,Easy,Medium,black,Easy,win,3,27.094,434.9212,13.547,434.9212,111,163,55.5,163.0,False
10,Easy_vs_Medium,O10_complex_midgame_mirror_white,Easy,Medium,white,Medium,loss,15,255.6539,9303.3182,36.522,1162.9148,499,2158,71.29,269.75,False
11,Easy_vs_Medium,O1_length_pressure_black,Easy,Medium,black,Easy,win,13,139.0993,4710.562,19.8713,785.0937,460,1168,65.71,194.67,False
