ai_1,ai_2,games,ai_1_wins,ai_2_wins,draws,ai_1_win_rate,ai_2_win_rate,ai_1_score_rate,ai_2_score_rate,avg_moves,avg_time_per_move_ai_1,avg_time_per_move_ai_2
Easy,Hard,50,20,30,0,0.4,0.6,0.4,0.6,11.46,28.331,1033.1144
Easy,Medium,50,25,25,0,0.5,0.5,0.5,0.5,14.12,27.1307,1286.4308
Medium,Hard,50,8,37,5,0.16,0.74,0.21,0.79,18.5,2033.3348,1553.9413
