game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
1,Easy_vs_Medium,O1_small_center,Easy,Medium,white,Medium,loss,30,466.0774,18726.1336,31.0718,1248.4089,1214,4072,80.93,271.47,False
2,Easy_vs_Medium,O2_balanced_mid,Easy,Medium,white,Medium,loss,20,241.575,8451.3329,24.1575,845.1333,701,2489,70.1,248.9,False
3,Easy_vs_Medium,O3_single_threat,Easy,Medium,black,Easy,win,3,18.509,205.2985,9.2545,205.2985,100,151,50.0,151.0,False
4,Easy_vs_Medium,O4_mutual_threats,Easy,Medium,white,Medium,loss,2,10.623,287.6835,10.623,287.6835,54,108,54.0,108.0,False
5,Easy_vs_Medium,O5_dense_center,Easy,Medium,black,Easy,win,1,16.0173,0.0,16.0173,0.0,61,0,61.0,0.0,False
6,Easy_vs_Medium,O1_small_center,Easy,Medium,white,Medium,loss,30,477.4045,18815.7121,31.827,1254.3808,1214,4072,80.93,271.47,False
7,Easy_vs_Medium,O2_balanced_mid,Easy,Medium,white,Medium,loss,20,241.2258,8562.0955,24.1226,856.2095,701,2489,70.1,248.9,False
8,Easy_vs_Medium,O3_single_threat,Easy,Medium,black,Easy,win,3,20.8502,250.8323,10.4251,250.8323,100,151,50.0,151.0,False
9,Easy_vs_Medium,O4_mutual_threats,Easy,Medium,white,Medium,loss,2,14.0919,288.0578,14.0919,288.0578,54,108,54.0,108.0,False
10,Easy_vs_Medium,O5_dense_center,Easy,Medium,black,Easy,win,1,15.873,0.0,15.873,0.0,61,0,61.0,0.0,False
11,Easy_vs_Medium,O1_small_center,Easy,Medium,white,Medium,loss,30,465.5212,18741.5518,31.0347,1249.4368,1214,4072,80.93,271.47,False
12,Easy_vs_Medium,O2_balanced_mid,Easy,Medium,white,Medium,loss,20,272.785,8573.24,27.2785,857.324,701,2489,70.1,248.9,False
13,Easy_vs_Medium,O3_single_threat,Easy,Medium,black,Easy,win,3,20.6086,265.4139,10.3043,265.4139,100,151,50.0,151.0,False
14,Easy_vs_Medium,O4_mutual_threats,Easy,Medium,white,Medium,loss,2,24.516,303.9811,24.516,303.9811,54,108,54.0,108.0,False
15,Easy_vs_Medium,O5_dense_center,Easy,Medium,black,Easy,win,1,15.4496,0.0,15.4496,0.0,61,0,61.0,0.0,False
16,Easy_vs_Medium,O1_small_center,Easy,Medium,white,Medium,loss,30,462.0969,19026.9767,30.8065,1268.4651,1214,4072,80.93,271.47,False
17,Easy_vs_Medium,O2_balanced_mid,Easy,Medium,white,Medium,loss,20,248.1,8530.1253,24.81,853.0125,701,2489,70.1,248.9,False
18,Easy_vs_Medium,O3_single_threat,Easy,Medium,black,Easy,win,3,18.2497,208.3023,9.1248,208.3023,100,151,50.0,151.0,False
19,Easy_vs_Medium,O4_mutual_threats,Easy,Medium,white,Medium,loss,2,10.7617,288.6827,10.7617,288.6827,54,108,54.0,108.0,False
20,Easy_vs_Medium,O5_dense_center,Easy,Medium,black,Easy,win,1,15.4338,0.0,15.4338,0.0,61,0,61.0,0.0,False
21,Easy_vs_Medium,O1_small_center,Easy,Medium,white,Medium,loss,30,469.5388,19154.19,31.3026,1276.946,1214,4072,80.93,271.47,False
22,Easy_vs_Medium,O2_balanced_mid,Easy,Medium,white,Medium,loss,20,274.2176,9017.4135,27.4218,901.7413,701,2489,70.1,248.9,False
23,Easy_vs_Medium,O3_single_threat,Easy,Medium,black,Easy,win,3,18.6498,210.051,9.3249,210.051,100,151,50.0,151.0,False
24,Easy_vs_Medium,O4_mutual_threats,Easy,Medium,white,Medium,loss,2,11.5614,288.7835,11.5614,288.7835,54,108,54.0,108.0,False
25,Easy_vs_Medium,O5_dense_center,Easy,Medium,black,Easy,win,1,16.0042,0.0,16.0042,0.0,61,0,61.0,0.0,False
26,Easy_vs_Medium,O1_small_center,Medium,Easy,black,Medium,win,19,5639.3483,204.5664,563.9348,22.7296,1985,580,198.5,64.44,False
27,Easy_vs_Medium,O2_balanced_mid,Medium,Easy,black,Medium,win,49,66745.2631,1503.1153,2669.8105,62.6298,8968,2341,358.72,97.54,False
28,Easy_vs_Medium,O3_single_threat,Medium,Easy,black,Medium,win,3,434.3615,9.2933,217.1808,9.2933,293,50,146.5,50.0,False
29,Easy_vs_Medium,O4_mutual_threats,Medium,Easy,white,Easy,loss,2,252.9545,11.7858,252.9545,11.7858,160,55,160.0,55.0,False
30,Easy_vs_Medium,O5_dense_center,Medium,Easy,black,Medium,win,1,406.5966,0.0,406.5966,0.0,120,0,120.0,0.0,False
31,Easy_vs_Medium,O1_small_center,Medium,Easy,black,Medium,win,19,5041.9001,153.183,504.19,17.0203,1985,580,198.5,64.44,False
32,Easy_vs_Medium,O2_balanced_mid,Medium,Easy,black,Medium,win,49,66696.5432,1511.2108,2667.8617,62.9671,8968,2341,358.72,97.54,False
33,Easy_vs_Medium,O3_single_threat,Medium,Easy,black,Medium,win,3,429.4967,9.5169,214.7484,9.5169,293,50,146.5,50.0,False
34,Easy_vs_Medium,O4_mutual_threats,Medium,Easy,white,Easy,loss,2,255.4858,11.4757,255.4858,11.4757,160,55,160.0,55.0,False
35,Easy_vs_Medium,O5_dense_center,Medium,Easy,black,Medium,win,1,415.6455,0.0,415.6455,0.0,120,0,120.0,0.0,False
36,Easy_vs_Medium,O1_small_center,Medium,Easy,black,Medium,win,19,5077.6288,167.5257,507.7629,18.614,1985,580,198.5,64.44,False
37,Easy_vs_Medium,O2_balanced_mid,Medium,Easy,black,Medium,win,49,66621.7477,1509.0692,2664.8699,62.8779,8968,2341,358.72,97.54,False
38,Easy_vs_Medium,O3_single_threat,Medium,Easy,black,Medium,win,3,429.1113,9.3397,214.5556,9.3397,293,50,146.5,50.0,False
39,Easy_vs_Medium,O4_mutual_threats,Medium,Easy,white,Easy,loss,2,257.5271,11.3631,257.5271,11.3631,160,55,160.0,55.0,False
40,Easy_vs_Medium,O5_dense_center,Medium,Easy,black,Medium,win,1,413.835,0.0,413.835,0.0,120,0,120.0,0.0,False
41,Easy_vs_Medium,O1_small_center,Medium,Easy,black,Medium,win,19,5063.4579,154.2726,506.3458,17.1414,1985,580,198.5,64.44,False
