ai_1,ai_2,games,ai_1_wins,ai_2_wins,draws,ai_1_win_rate,ai_2_win_rate,ai_1_score_rate,ai_2_score_rate,avg_moves,avg_time_per_move_ai_1,avg_time_per_move_ai_2
Easy,Hard,50,20,30,0,0.4,0.6,0.4,0.6,11.46,28.7304,1056.8965
Easy,Medium,50,20,30,0,0.4,0.6,0.4,0.6,11.5,24.0436,4478.9516
Medium,Hard,50,25,20,5,0.5,0.4,0.55,0.45,12.66,10126.2521,1567.2861
