game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
1,Easy_vs_Medium,O1_length_pressure_black,Easy,Medium,black,Easy,win,13,137.6448,13088.8771,19.6635,2181.4795,460,11125,65.71,1854.17,False
2,Easy_vs_Medium,O2_length_pressure_white,Easy,Medium,white,Medium,loss,13,113.9495,22590.3892,18.9916,3227.1985,373,32901,62.17,4700.14,False
3,Easy_vs_Medium,O3_length_pressure_mirror_black,Easy,Medium,black,Easy,win,13,138.203,13127.2248,19.7433,2187.8708,460,11125,65.71,1854.17,False
4,Easy_vs_Medium,O4_length_pressure_mirror_white,Easy,Medium,white,Medium,loss,13,110.9767,22689.2148,18.4961,3241.3164,373,32901,62.17,4700.14,False
5,Easy_vs_Medium,O5_center_space_black,Easy,Medium,white,Medium,loss,24,421.1158,78902.8536,35.093,6575.2378,1068,59166,89.0,4930.5,False
6,Easy_vs_Medium,O6_center_space_white,Easy,Medium,white,Medium,loss,19,297.5742,87722.7449,33.0638,8772.2745,808,106196,89.78,10619.6,False
7,Easy_vs_Medium,O7_complex_midgame_black,Easy,Medium,black,Easy,win,3,26.8143,946.9251,13.4072,946.9251,111,219,55.5,219.0,False
8,Easy_vs_Medium,O8_complex_midgame_white,Easy,Medium,white,Medium,loss,3,13.2999,3325.0334,13.2999,1662.5167,54,7031,54.0,3515.5,False
9,Easy_vs_Medium,O9_complex_midgame_mirror_black,Easy,Medium,black,Easy,win,3,28.3466,982.5565,14.1733,982.5565,111,219,55.5,219.0,False
10,Easy_vs_Medium,O10_complex_midgame_mirror_white,Easy,Medium,white,Medium,loss,3,13.1799,3297.0477,13.1799,1648.5238,54,7031,54.0,3515.5,False
11,Easy_vs_Medium,O1_length_pressure_black,Easy,Medium,black,Easy,win,13,140.415,13291.2118,20.0593,2215.202,460,11125,65.71,1854.17,False
12,Easy_vs_Medium,O2_length_pressure_white,Easy,Medium,white,Medium,loss,13,112.4944,23460.2153,18.7491,3351.4593,373,32901,62.17,4700.14,False
13,Easy_vs_Medium,O3_length_pressure_mirror_black,Easy,Medium,black,Easy,win,13,139.7611,13962.9671,19.9659,2327.1612,460,11125,65.71,1854.17,False
14,Easy_vs_Medium,O4_length_pressure_mirror_white,Easy,Medium,white,Medium,loss,13,112.236,22703.0188,18.706,3243.2884,373,32901,62.17,4700.14,False
15,Easy_vs_Medium,O5_center_space_black,Easy,Medium,white,Medium,loss,24,435.4561,79235.0278,36.288,6602.919,1068,59166,89.0,4930.5,False
16,Easy_vs_Medium,O6_center_space_white,Easy,Medium,white,Medium,loss,19,289.3946,86936.9608,32.155,8693.6961,808,106196,89.78,10619.6,False
17,Easy_vs_Medium,O7_complex_midgame_black,Easy,Medium,black,Easy,win,3,28.5614,958.0475,14.2807,958.0475,111,219,55.5,219.0,False
18,Easy_vs_Medium,O8_complex_midgame_white,Easy,Medium,white,Medium,loss,3,13.2744,3326.143,13.2744,1663.0715,54,7031,54.0,3515.5,False
19,Easy_vs_Medium,O9_complex_midgame_mirror_black,Easy,Medium,black,Easy,win,3,26.5913,955.2135,13.2956,955.2135,111,219,55.5,219.0,False
20,Easy_vs_Medium,O10_complex_midgame_mirror_white,Easy,Medium,white,Medium,loss,3,12.9902,3868.9064,12.9902,1934.4532,54,7031,54.0,3515.5,False
21,Easy_vs_Medium,O1_length_pressure_black,Easy,Medium,black,Easy,win,13,139.7077,13136.1352,19.9582,2189.3559,460,11125,65.71,1854.17,False
22,Easy_vs_Medium,O2_length_pressure_white,Easy,Medium,white,Medium,loss,13,112.5096,22593.5671,18.7516,3227.6524,373,32901,62.17,4700.14,False
23,Easy_vs_Medium,O3_length_pressure_mirror_black,Easy,Medium,black,Easy,win,13,139.928,13172.2407,19.9897,2195.3735,460,11125,65.71,1854.17,False
24,Easy_vs_Medium,O4_length_pressure_mirror_white,Easy,Medium,white,Medium,loss,13,110.0275,22602.24,18.3379,3228.8914,373,32901,62.17,4700.14,False
25,Easy_vs_Medium,O5_center_space_black,Easy,Medium,white,Medium,loss,24,423.4837,78562.679,35.2903,6546.8899,1068,59166,89.0,4930.5,False
26,Easy_vs_Medium,O1_length_pressure_black,Medium,Easy,black,Medium,win,13,22678.052,115.7073,3239.7217,19.2845,32901,373,4700.14,62.17,False
27,Easy_vs_Medium,O2_length_pressure_white,Medium,Easy,white,Easy,loss,13,13036.3053,137.2526,2172.7175,19.6075,11125,460,1854.17,65.71,False
28,Easy_vs_Medium,O3_length_pressure_mirror_black,Medium,Easy,black,Medium,win,13,23073.468,111.8088,3296.2097,18.6348,32901,373,4700.14,62.17,False
29,Easy_vs_Medium,O4_length_pressure_mirror_white,Medium,Easy,white,Easy,loss,13,13661.2041,137.6465,2276.8674,19.6638,11125,460,1854.17,65.71,False
30,Easy_vs_Medium,O5_center_space_black,Medium,Easy,black,Medium,win,19,86098.1967,289.1854,8609.8197,32.1317,106196,808,10619.6,89.78,False
31,Easy_vs_Medium,O6_center_space_white,Medium,Easy,black,Medium,win,24,77154.9275,423.0195,6429.5773,35.2516,59166,1068,4930.5,89.0,False
32,Easy_vs_Medium,O7_complex_midgame_black,Medium,Easy,black,Medium,win,3,3491.3771,13.4105,1745.6886,13.4105,7031,54,3515.5,54.0,False
33,Easy_vs_Medium,O8_complex_midgame_white,Medium,Easy,white,Easy,loss,3,992.4229,29.5414,992.4229,14.7707,219,111,219.0,55.5,False
34,Easy_vs_Medium,O9_complex_midgame_mirror_black,Medium,Easy,black,Medium,win,3,3460.9614,13.3616,1730.4807,13.3616,7031,54,3515.5,54.0,False
35,Easy_vs_Medium,O10_complex_midgame_mirror_white,Medium,Easy,white,Easy,loss,3,976.6626,27.1611,976.6626,13.5805,219,111,219.0,55.5,False
36,Easy_vs_Medium,O1_length_pressure_black,Medium,Easy,black,Medium,win,13,22512.9554,111.5312,3216.1365,18.5885,32901,373,4700.14,62.17,False
