game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
1,Easy_vs_Medium,O1_central_cross_black,Easy,Medium,white,Medium,loss,24,165.8003,47946.858,13.8167,3995.5715,848,30693,70.67,2557.75,False
2,Easy_vs_Medium,O2_offset_tension_white,Easy,Medium,white,Medium,loss,11,44.1483,21579.6707,8.8297,3596.6118,320,31814,64.0,5302.33,False
3,Easy_vs_Medium,O3_diagonal_balance_black,Easy,Medium,white,Medium,loss,20,125.6108,45939.6256,12.5611,4593.9626,713,49023,71.3,4902.3,False
4,Easy_vs_Medium,O4_wide_center_white,Easy,Medium,white,Medium,loss,7,26.1098,7913.3634,8.7033,1978.3409,220,11570,73.33,2892.5,False
5,Easy_vs_Medium,O5_side_expansion_black,Easy,Medium,black,Easy,win,3,10.8537,950.7672,5.4269,950.7672,119,235,59.5,235.0,False
6,Easy_vs_Medium,O6_central_cross_mirror_white,Easy,Medium,white,Medium,loss,11,37.5068,14258.0024,7.5014,2376.3337,283,20246,56.6,3374.33,False
7,Easy_vs_Medium,O7_offset_tension_mirror_black,Easy,Medium,white,Medium,loss,12,55.9205,18623.8569,9.3201,3103.9761,387,21513,64.5,3585.5,False
8,Easy_vs_Medium,O8_diagonal_balance_mirror_white,Easy,Medium,white,Medium,loss,29,258.1759,128526.5854,18.4411,8568.439,1144,108275,81.71,7218.33,False
9,Easy_vs_Medium,O9_wide_center_mirror_black,Easy,Medium,black,Easy,win,3,13.2334,1156.1205,6.6167,1156.1205,132,269,66.0,269.0,False
10,Easy_vs_Medium,O10_side_expansion_mirror_white,Easy,Medium,white,Medium,loss,3,5.1204,2903.475,5.1204,1451.7375,57,8364,57.0,4182.0,False
11,Easy_vs_Medium,O1_central_cross_black,Easy,Medium,white,Medium,loss,24,161.7124,46006.0521,13.476,3833.8377,848,30693,70.67,2557.75,False
12,Easy_vs_Medium,O2_offset_tension_white,Easy,Medium,white,Medium,loss,11,43.8797,20632.936,8.7759,3438.8227,320,31814,64.0,5302.33,False
13,Easy_vs_Medium,O3_diagonal_balance_black,Easy,Medium,white,Medium,loss,20,123.0855,44453.6235,12.3086,4445.3624,713,49023,71.3,4902.3,False
14,Easy_vs_Medium,O4_wide_center_white,Easy,Medium,white,Medium,loss,7,25.8758,7732.5203,8.6253,1933.1301,220,11570,73.33,2892.5,False
15,Easy_vs_Medium,O5_side_expansion_black,Easy,Medium,black,Easy,win,3,10.7997,823.2967,5.3999,823.2967,119,235,59.5,235.0,False
16,Easy_vs_Medium,O6_central_cross_mirror_white,Easy,Medium,white,Medium,loss,11,36.0901,13610.01,7.218,2268.335,283,20246,56.6,3374.33,False
17,Easy_vs_Medium,O7_offset_tension_mirror_black,Easy,Medium,white,Medium,loss,12,53.7345,17642.056,8.9558,2940.3427,387,21513,64.5,3585.5,False
18,Easy_vs_Medium,O8_diagonal_balance_mirror_white,Easy,Medium,white,Medium,loss,29,260.1575,129102.2197,18.5827,8606.8146,1144,108275,81.71,7218.33,False
19,Easy_vs_Medium,O9_wide_center_mirror_black,Easy,Medium,black,Easy,win,3,13.3784,1144.393,6.6892,1144.393,132,269,66.0,269.0,False
20,Easy_vs_Medium,O10_side_expansion_mirror_white,Easy,Medium,white,Medium,loss,3,5.1837,2909.3232,5.1837,1454.6616,57,8364,57.0,4182.0,False
