ai_1,ai_2,games,ai_1_wins,ai_2_wins,draws,ai_1_win_rate,ai_2_win_rate,ai_1_score_rate,ai_2_score_rate,avg_moves,avg_time_per_move_ai_1,avg_time_per_move_ai_2
Easy,Hard,50,15,35,0,0.3,0.7,0.3,0.7,16.6,16.45,2680.8677
Easy,Medium,50,10,40,0,0.2,0.8,0.2,0.8,12.5,12.049,4621.393
Medium,Hard,50,22,23,5,0.44,0.46,0.49,0.51,15.48,5907.0448,2476.125
