game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
1,Easy_vs_Medium,O1_small_center,Easy,Medium,white,Medium,loss,8,32.3136,4388.993,8.0784,1097.2483,205,9939,51.25,2484.75,False
2,Easy_vs_Medium,O2_balanced_mid,Easy,Medium,white,Medium,loss,14,125.7692,23197.9893,17.967,3313.9985,448,29791,64.0,4255.86,False
3,Easy_vs_Medium,O3_single_threat,Easy,Medium,black,Easy,win,3,18.2131,642.9949,9.1066,642.9949,100,203,50.0,203.0,False
4,Easy_vs_Medium,O4_mutual_threats,Easy,Medium,white,Medium,loss,2,10.7446,1291.4764,10.7446,1291.4764,54,3624,54.0,3624.0,False
5,Easy_vs_Medium,O5_dense_center,Easy,Medium,black,Easy,win,1,16.3373,0.0,16.3373,0.0,61,0,61.0,0.0,False
6,Easy_vs_Medium,O1_small_center,Easy,Medium,white,Medium,loss,8,32.3127,4370.2813,8.0782,1092.5703,205,9939,51.25,2484.75,False
7,Easy_vs_Medium,O2_balanced_mid,Easy,Medium,white,Medium,loss,14,125.4247,23173.2935,17.9178,3310.4705,448,29791,64.0,4255.86,False
8,Easy_vs_Medium,O3_single_threat,Easy,Medium,black,Easy,win,3,17.6653,642.5473,8.8326,642.5473,100,203,50.0,203.0,False
9,Easy_vs_Medium,O4_mutual_threats,Easy,Medium,white,Medium,loss,2,10.8224,1283.7751,10.8224,1283.7751,54,3624,54.0,3624.0,False
10,Easy_vs_Medium,O5_dense_center,Easy,Medium,black,Easy,win,1,15.961,0.0,15.961,0.0,61,0,61.0,0.0,False
11,Easy_vs_Medium,O1_small_center,Easy,Medium,white,Medium,loss,8,32.1465,4374.3074,8.0366,1093.5768,205,9939,51.25,2484.75,False
12,Easy_vs_Medium,O2_balanced_mid,Easy,Medium,white,Medium,loss,14,124.409,23127.5347,17.7727,3303.9335,448,29791,64.0,4255.86,False
13,Easy_vs_Medium,O3_single_threat,Easy,Medium,black,Easy,win,3,17.4851,636.1775,8.7426,636.1775,100,203,50.0,203.0,False
14,Easy_vs_Medium,O4_mutual_threats,Easy,Medium,white,Medium,loss,2,10.5257,1258.5515,10.5257,1258.5515,54,3624,54.0,3624.0,False
15,Easy_vs_Medium,O5_dense_center,Easy,Medium,black,Easy,win,1,15.9707,0.0,15.9707,0.0,61,0,61.0,0.0,False
16,Easy_vs_Medium,O1_small_center,Easy,Medium,white,Medium,loss,8,32.1684,4369.7751,8.0421,1092.4438,205,9939,51.25,2484.75,False
17,Easy_vs_Medium,O2_balanced_mid,Easy,Medium,white,Medium,loss,14,124.082,23137.1315,17.726,3305.3045,448,29791,64.0,4255.86,False
