game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
1,Easy_vs_Medium,O1_central_cross_black,Easy,Medium,white,Medium,loss,24,166.2072,46602.7068,13.8506,3883.5589,848,30693,70.67,2557.75,False
2,Easy_vs_Medium,O2_offset_tension_white,Easy,Medium,white,Medium,loss,11,44.2667,20924.0696,8.8533,3487.3449,320,31814,64.0,5302.33,False
3,Easy_vs_Medium,O3_diagonal_balance_black,Easy,Medium,white,Medium,loss,20,123.3727,44646.1773,12.3373,4464.6177,713,49023,71.3,4902.3,False
4,Easy_vs_Medium,O4_wide_center_white,Easy,Medium,white,Medium,loss,7,25.9602,7838.6835,8.6534,1959.6709,220,11570,73.33,2892.5,False
5,Easy_vs_Medium,O5_side_expansion_black,Easy,Medium,black,Easy,win,3,10.9341,835.7581,5.4671,835.7581,119,235,59.5,235.0,False
6,Easy_vs_Medium,O6_central_cross_mirror_white,Easy,Medium,white,Medium,loss,11,36.3909,13828.5668,7.2782,2304.7611,283,20246,56.6,3374.33,False
7,Easy_vs_Medium,O7_offset_tension_mirror_black,Easy,Medium,white,Medium,loss,12,55.1518,17859.609,9.192,2976.6015,387,21513,64.5,3585.5,False
8,Easy_vs_Medium,O8_diagonal_balance_mirror_white,Easy,Medium,white,Medium,loss,29,265.6356,128520.54,18.974,8568.036,1144,108275,81.71,7218.33,False
9,Easy_vs_Medium,O9_wide_center_mirror_black,Easy,Medium,black,Easy,win,3,13.3003,1148.7925,6.6501,1148.7925,132,269,66.0,269.0,False
10,Easy_vs_Medium,O10_side_expansion_mirror_white,Easy,Medium,white,Medium,loss,3,5.2881,2917.2615,5.2881,1458.6308,57,8364,57.0,4182.0,False
11,Easy_vs_Medium,O1_central_cross_black,Easy,Medium,white,Medium,loss,24,161.6812,46613.4832,13.4734,3884.4569,848,30693,70.67,2557.75,False
12,Easy_vs_Medium,O2_offset_tension_white,Easy,Medium,white,Medium,loss,11,47.3795,21070.8033,9.4759,3511.8005,320,31814,64.0,5302.33,False
13,Easy_vs_Medium,O3_diagonal_balance_black,Easy,Medium,white,Medium,loss,20,122.3815,44705.5415,12.2382,4470.5541,713,49023,71.3,4902.3,False
14,Easy_vs_Medium,O4_wide_center_white,Easy,Medium,white,Medium,loss,7,26.0888,7914.4675,8.6963,1978.6169,220,11570,73.33,2892.5,False
15,Easy_vs_Medium,O5_side_expansion_black,Easy,Medium,black,Easy,win,3,10.9153,826.2825,5.4577,826.2825,119,235,59.5,235.0,False
16,Easy_vs_Medium,O6_central_cross_mirror_white,Easy,Medium,white,Medium,loss,11,36.2538,13639.3963,7.2508,2273.2327,283,20246,56.6,3374.33,False
17,Easy_vs_Medium,O7_offset_tension_mirror_black,Easy,Medium,white,Medium,loss,12,53.2524,17680.2004,8.8754,2946.7001,387,21513,64.5,3585.5,False
18,Easy_vs_Medium,O8_diagonal_balance_mirror_white,Easy,Medium,white,Medium,loss,29,257.1889,128335.83,18.3706,8555.722,1144,108275,81.71,7218.33,False
19,Easy_vs_Medium,O9_wide_center_mirror_black,Easy,Medium,black,Easy,win,3,13.3103,1137.3574,6.6552,1137.3574,132,269,66.0,269.0,False
20,Easy_vs_Medium,O10_side_expansion_mirror_white,Easy,Medium,white,Medium,loss,3,5.2506,2924.088,5.2506,1462.044,57,8364,57.0,4182.0,False
21,Easy_vs_Medium,O1_central_cross_black,Easy,Medium,white,Medium,loss,24,161.4349,46152.669,13.4529,3846.0557,848,30693,70.67,2557.75,False
22,Easy_vs_Medium,O2_offset_tension_white,Easy,Medium,white,Medium,loss,11,43.9838,20814.4803,8.7968,3469.08,320,31814,64.0,5302.33,False
23,Easy_vs_Medium,O3_diagonal_balance_black,Easy,Medium,white,Medium,loss,20,122.1998,44151.8997,12.22,4415.19,713,49023,71.3,4902.3,False
24,Easy_vs_Medium,O4_wide_center_white,Easy,Medium,white,Medium,loss,7,26.0208,7755.071,8.6736,1938.7678,220,11570,73.33,2892.5,False
25,Easy_vs_Medium,O5_side_expansion_black,Easy,Medium,black,Easy,win,3,10.8184,826.8769,5.4092,826.8769,119,235,59.5,235.0,False
26,Easy_vs_Medium,O1_central_cross_black,Medium,Easy,black,Medium,win,11,13736.3402,36.3106,2289.39,7.2621,20246,283,3374.33,56.6,False
27,Easy_vs_Medium,O2_offset_tension_white,Medium,Easy,white,Easy,loss,11,10303.2664,53.8868,2060.6533,8.9811,9301,393,1860.2,65.5,False
28,Easy_vs_Medium,O3_diagonal_balance_black,Medium,Easy,black,Medium,win,29,128306.7512,256.2275,8553.7834,18.302,108275,1144,7218.33,81.71,False
29,Easy_vs_Medium,O4_wide_center_white,Medium,Easy,black,Medium,win,10,11572.7642,40.4808,2314.5528,8.0962,11741,323,2348.2,64.6,False
30,Easy_vs_Medium,O5_side_expansion_black,Medium,Easy,black,Medium,win,3,2922.014,5.1549,1461.007,5.1549,8364,57,4182.0,57.0,False
31,Easy_vs_Medium,O6_central_cross_mirror_white,Medium,Easy,black,Medium,win,24,46631.0479,161.85,3885.9207,13.4875,30693,848,2557.75,70.67,False
32,Easy_vs_Medium,O7_offset_tension_mirror_black,Medium,Easy,black,Medium,win,11,22864.1647,47.209,3810.6941,9.4418,34146,339,5691.0,67.8,False
33,Easy_vs_Medium,O8_diagonal_balance_mirror_white,Medium,Easy,black,Medium,win,20,44163.6143,121.4107,4416.3614,12.1411,49023,713,4902.3,71.3,False
34,Easy_vs_Medium,O9_wide_center_mirror_black,Medium,Easy,black,Medium,win,3,3830.925,6.5882,1915.4625,6.5882,10040,66,5020.0,66.0,False
35,Easy_vs_Medium,O10_side_expansion_mirror_white,Medium,Easy,white,Easy,loss,3,820.3941,10.9917,820.3941,5.4959,235,119,235.0,59.5,False
36,Easy_vs_Medium,O1_central_cross_black,Medium,Easy,black,Medium,win,11,13733.557,37.0767,2288.9262,7.4153,20246,283,3374.33,56.6,False
37,Easy_vs_Medium,O2_offset_tension_white,Medium,Easy,white,Easy,loss,11,10292.5887,53.7475,2058.5177,8.9579,9301,393,1860.2,65.5,False
38,Easy_vs_Medium,O3_diagonal_balance_black,Medium,Easy,black,Medium,win,29,127966.5827,256.8254,8531.1055,18.3447,108275,1144,7218.33,81.71,False
39,Easy_vs_Medium,O4_wide_center_white,Medium,Easy,black,Medium,win,10,11577.1529,40.7578,2315.4306,8.1516,11741,323,2348.2,64.6,False
40,Easy_vs_Medium,O5_side_expansion_black,Medium,Easy,black,Medium,win,3,2920.4947,5.2186,1460.2473,5.2186,8364,57,4182.0,57.0,False
41,Easy_vs_Medium,O6_central_cross_mirror_white,Medium,Easy,black,Medium,win,24,45979.2264,162.1107,3831.6022,13.5092,30693,848,2557.75,70.67,False
42,Easy_vs_Medium,O7_offset_tension_mirror_black,Medium,Easy,black,Medium,win,11,22149.6505,46.9943,3691.6084,9.3989,34146,339,5691.0,67.8,False
43,Easy_vs_Medium,O8_diagonal_balance_mirror_white,Medium,Easy,black,Medium,win,20,44107.3243,121.7629,4410.7324,12.1763,49023,713,4902.3,71.3,False
44,Easy_vs_Medium,O9_wide_center_mirror_black,Medium,Easy,black,Medium,win,3,3834.2292,6.6938,1917.1146,6.6938,10040,66,5020.0,66.0,False
