ai_1,ai_2,games,ai_1_wins,ai_2_wins,draws,ai_1_win_rate,ai_2_win_rate,ai_1_score_rate,ai_2_score_rate,avg_moves,avg_time_per_move_ai_1,avg_time_per_move_ai_2
Easy,Hard,50,15,35,0,0.3,0.7,0.3,0.7,19.24,20.1932,3380.2074
Easy,Medium,50,10,40,0,0.2,0.8,0.2,0.8,12.5,11.9191,4551.9603
Medium,Hard,50,17,31,2,0.34,0.62,0.36,0.64,13.4,4871.5384,2078.0289
