game_id,pair_id,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
39,Easy_vs_Medium,Medium,Easy,black,Medium,win,15,8303.1058,49.8112,1037.8882,7.1159,17052,307,2131.5,43.86,False
40,Easy_vs_Medium,Medium,Easy,black,Medium,win,15,8327.833,50.2525,1040.9791,7.1789,17052,307,2131.5,43.86,False
41,Easy_vs_Medium,Medium,Easy,black,Medium,win,15,8276.1468,50.0075,1034.5184,7.1439,17052,307,2131.5,43.86,False
42,Easy_vs_Medium,Medium,Easy,black,Medium,win,15,8303.4614,49.7975,1037.9327,7.1139,17052,307,2131.5,43.86,False
43,Easy_vs_Medium,Medium,Easy,black,Medium,win,15,8335.8956,49.9904,1041.987,7.1415,17052,307,2131.5,43.86,False
44,Easy_vs_Medium,Medium,Easy,black,Medium,win,15,8302.5799,49.6583,1037.8225,7.094,17052,307,2131.5,43.86,False
45,Easy_vs_Medium,Medium,Easy,black,Medium,win,15,8334.9792,50.1412,1041.8724,7.163,17052,307,2131.5,43.86,False
46,Easy_vs_Medium,Medium,Easy,black,Medium,win,15,8525.7201,49.8832,1065.715,7.1262,17052,307,2131.5,43.86,False
47,Easy_vs_Medium,Medium,Easy,black,Medium,win,15,8594.4942,50.2666,1074.3118,7.1809,17052,307,2131.5,43.86,False
48,Easy_vs_Medium,Medium,Easy,black,Medium,win,15,8549.0999,49.923,1068.6375,7.1319,17052,307,2131.5,43.86,False
49,Easy_vs_Medium,Medium,Easy,black,Medium,win,15,8547.28,69.0395,1068.41,9.8628,17052,307,2131.5,43.86,False
50,Easy_vs_Medium,Medium,Easy,black,Medium,win,15,8298.541,49.9538,1037.3176,7.1363,17052,307,2131.5,43.86,False
51,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,487.1304,18031.6437,27.0628,1001.758,1251,4360,69.5,242.22,False
52,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,484.3287,17891.2991,26.9072,993.9611,1251,4360,69.5,242.22,False
53,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,484.3947,17985.3405,26.9108,999.1856,1251,4360,69.5,242.22,False
54,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,482.787,17879.7821,26.8215,993.3212,1251,4360,69.5,242.22,False
55,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,687.0565,18202.8256,38.1698,1011.2681,1251,4360,69.5,242.22,False
56,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,652.1607,18293.8558,36.2312,1016.3253,1251,4360,69.5,242.22,False
57,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,484.4974,18446.367,26.9165,1024.7982,1251,4360,69.5,242.22,False
58,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,487.701,18383.8642,27.0945,1021.3258,1251,4360,69.5,242.22,False
59,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,492.0529,18209.3731,27.3363,1011.6318,1251,4360,69.5,242.22,False
60,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,500.8598,18366.5898,27.8255,1020.3661,1251,4360,69.5,242.22,False
61,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,484.278,18378.5349,26.9043,1021.0297,1251,4360,69.5,242.22,False
62,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,514.0198,18256.3966,28.5567,1014.2443,1251,4360,69.5,242.22,False
63,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,483.8688,18151.6873,26.8816,1008.4271,1251,4360,69.5,242.22,False
64,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,481.5683,17785.6373,26.7538,988.091,1251,4360,69.5,242.22,False
65,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,484.6132,17888.0161,26.923,993.7787,1251,4360,69.5,242.22,False
66,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,483.3447,17774.9554,26.8525,987.4975,1251,4360,69.5,242.22,False
67,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,483.3987,18116.2984,26.8555,1006.461,1251,4360,69.5,242.22,False
68,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,679.2545,17836.1136,37.7364,990.8952,1251,4360,69.5,242.22,False
69,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,483.6851,18134.5342,26.8714,1007.4741,1251,4360,69.5,242.22,False
70,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,481.6858,18018.4489,26.7603,1001.0249,1251,4360,69.5,242.22,False
71,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,484.4123,17925.9013,26.9118,995.8834,1251,4360,69.5,242.22,False
72,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,481.8461,17829.5477,26.7692,990.5304,1251,4360,69.5,242.22,False
73,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,485.5635,18238.756,26.9757,1013.2642,1251,4360,69.5,242.22,False
74,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,482.0289,18123.0689,26.7794,1006.8372,1251,4360,69.5,242.22,False
75,Easy_vs_Hard,Easy,Hard,white,Hard,loss,36,490.8395,18335.7963,27.2689,1018.6554,1251,4360,69.5,242.22,False
76,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8687.5496,223.9458,668.273,18.6621,2875,790,221.15,65.83,False
77,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8467.1486,220.2107,651.3191,18.3509,2875,790,221.15,65.83,False
78,Easy_vs_Hard,Hard,Easy,black,Hard,win,25,8413.5706,219.0983,647.1977,18.2582,2875,790,221.15,65.83,False
