game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
1,Easy_vs_Medium,O1_central_cross_black,Easy,Medium,white,Medium,loss,24,165.4808,46508.8876,13.7901,3875.7406,848,30693,70.67,2557.75,False
2,Easy_vs_Medium,O2_offset_tension_white,Easy,Medium,white,Medium,loss,11,44.3806,20932.8882,8.8761,3488.8147,320,31814,64.0,5302.33,False
3,Easy_vs_Medium,O3_diagonal_balance_black,Easy,Medium,white,Medium,loss,20,120.8398,44514.279,12.084,4451.4279,713,49023,71.3,4902.3,False
4,Easy_vs_Medium,O4_wide_center_white,Easy,Medium,white,Medium,loss,7,25.9012,8096.8976,8.6337,2024.2244,220,11570,73.33,2892.5,False
5,Easy_vs_Medium,O5_side_expansion_black,Easy,Medium,black,Easy,win,3,10.897,888.7311,5.4485,888.7311,119,235,59.5,235.0,False
6,Easy_vs_Medium,O6_central_cross_mirror_white,Easy,Medium,white,Medium,loss,11,36.5826,13713.9972,7.3165,2285.6662,283,20246,56.6,3374.33,False
7,Easy_vs_Medium,O7_offset_tension_mirror_black,Easy,Medium,white,Medium,loss,12,53.781,17700.5748,8.9635,2950.0958,387,21513,64.5,3585.5,False
8,Easy_vs_Medium,O8_diagonal_balance_mirror_white,Easy,Medium,white,Medium,loss,29,259.3825,128499.4452,18.5273,8566.6297,1144,108275,81.71,7218.33,False
9,Easy_vs_Medium,O9_wide_center_mirror_black,Easy,Medium,black,Easy,win,3,12.9788,1139.5438,6.4894,1139.5438,132,269,66.0,269.0,False
10,Easy_vs_Medium,O10_side_expansion_mirror_white,Easy,Medium,white,Medium,loss,3,5.2678,2922.4883,5.2678,1461.2441,57,8364,57.0,4182.0,False
11,Easy_vs_Medium,O1_central_cross_black,Easy,Medium,white,Medium,loss,24,162.3304,46207.2647,13.5275,3850.6054,848,30693,70.67,2557.75,False
12,Easy_vs_Medium,O2_offset_tension_white,Easy,Medium,white,Medium,loss,11,43.4375,20712.2323,8.6875,3452.0387,320,31814,64.0,5302.33,False
13,Easy_vs_Medium,O3_diagonal_balance_black,Easy,Medium,white,Medium,loss,20,122.5142,44349.573,12.2514,4434.9573,713,49023,71.3,4902.3,False
14,Easy_vs_Medium,O4_wide_center_white,Easy,Medium,white,Medium,loss,7,25.8445,7787.2358,8.6148,1946.8089,220,11570,73.33,2892.5,False
15,Easy_vs_Medium,O5_side_expansion_black,Easy,Medium,black,Easy,win,3,10.9991,828.249,5.4995,828.249,119,235,59.5,235.0,False
16,Easy_vs_Medium,O6_central_cross_mirror_white,Easy,Medium,white,Medium,loss,11,35.5543,13634.8105,7.1109,2272.4684,283,20246,56.6,3374.33,False
17,Easy_vs_Medium,O7_offset_tension_mirror_black,Easy,Medium,white,Medium,loss,12,53.1891,17719.9198,8.8648,2953.32,387,21513,64.5,3585.5,False
18,Easy_vs_Medium,O8_diagonal_balance_mirror_white,Easy,Medium,white,Medium,loss,29,256.6033,128252.5493,18.3288,8550.17,1144,108275,81.71,7218.33,False
19,Easy_vs_Medium,O9_wide_center_mirror_black,Easy,Medium,black,Easy,win,3,13.3052,1144.227,6.6526,1144.227,132,269,66.0,269.0,False
20,Easy_vs_Medium,O10_side_expansion_mirror_white,Easy,Medium,white,Medium,loss,3,5.0602,2902.9273,5.0602,1451.4636,57,8364,57.0,4182.0,False
21,Easy_vs_Medium,O1_central_cross_black,Easy,Medium,white,Medium,loss,24,161.7716,46295.9043,13.481,3857.992,848,30693,70.67,2557.75,False
22,Easy_vs_Medium,O2_offset_tension_white,Easy,Medium,white,Medium,loss,11,44.2629,20703.7803,8.8526,3450.6301,320,31814,64.0,5302.33,False
23,Easy_vs_Medium,O3_diagonal_balance_black,Easy,Medium,white,Medium,loss,20,122.6955,44304.5457,12.2695,4430.4546,713,49023,71.3,4902.3,False
24,Easy_vs_Medium,O4_wide_center_white,Easy,Medium,white,Medium,loss,7,26.3655,7799.3142,8.7885,1949.8285,220,11570,73.33,2892.5,False
25,Easy_vs_Medium,O5_side_expansion_black,Easy,Medium,black,Easy,win,3,11.0082,836.4063,5.5041,836.4063,119,235,59.5,235.0,False
26,Easy_vs_Medium,O1_central_cross_black,Medium,Easy,black,Medium,win,11,13677.0937,36.761,2279.5156,7.3522,20246,283,3374.33,56.6,False
27,Easy_vs_Medium,O2_offset_tension_white,Medium,Easy,white,Easy,loss,11,10335.7326,54.7702,2067.1465,9.1284,9301,393,1860.2,65.5,False
28,Easy_vs_Medium,O3_diagonal_balance_black,Medium,Easy,black,Medium,win,29,128499.6307,256.0552,8566.642,18.2897,108275,1144,7218.33,81.71,False
29,Easy_vs_Medium,O4_wide_center_white,Medium,Easy,black,Medium,win,10,11610.6239,40.7497,2322.1248,8.1499,11741,323,2348.2,64.6,False
30,Easy_vs_Medium,O5_side_expansion_black,Medium,Easy,black,Medium,win,3,2938.0167,5.2842,1469.0084,5.2842,8364,57,4182.0,57.0,False
31,Easy_vs_Medium,O6_central_cross_mirror_white,Medium,Easy,black,Medium,win,24,46226.9798,164.7474,3852.2483,13.7289,30693,848,2557.75,70.67,False
32,Easy_vs_Medium,O7_offset_tension_mirror_black,Medium,Easy,black,Medium,win,11,22267.1577,47.4571,3711.193,9.4914,34146,339,5691.0,67.8,False
33,Easy_vs_Medium,O8_diagonal_balance_mirror_white,Medium,Easy,black,Medium,win,20,44651.9726,122.0723,4465.1973,12.2072,49023,713,4902.3,71.3,False
34,Easy_vs_Medium,O9_wide_center_mirror_black,Medium,Easy,black,Medium,win,3,3961.5889,6.6108,1980.7945,6.6108,10040,66,5020.0,66.0,False
35,Easy_vs_Medium,O10_side_expansion_mirror_white,Medium,Easy,white,Easy,loss,3,833.5902,10.9033,833.5902,5.4516,235,119,235.0,59.5,False
36,Easy_vs_Medium,O1_central_cross_black,Medium,Easy,black,Medium,win,11,13936.3749,36.7477,2322.7292,7.3495,20246,283,3374.33,56.6,False
