ai,profile,evaluation,depth,games,wins,losses,draws,win_rate,score_rate,non_draw_win_rate,avg_time_per_move_ms,avg_nodes_per_move,games_as_black,wins_as_black,black_win_rate,games_as_white,wins_as_white,white_win_rate,avg_game_length
Hard,B2,Eval B,2,400,280,110,10,0.7,0.7125,0.7179,3175.6271,431.85,200,150,0.75,200,130,0.65,19.55
Medium,A3,Eval A,3,400,250,140,10,0.625,0.6375,0.641,6228.0128,5356.2,200,130,0.65,200,120,0.6,15.9
Easy,A1,Eval A,1,400,60,340,0,0.15,0.15,0.15,17.6245,76.49,200,40,0.2,200,20,0.1,17.25
