ai,evaluation,depth,games,wins,losses,draws,win_rate,score_rate,non_draw_win_rate,avg_time_per_move_ms,avg_nodes_per_move,games_as_black,wins_as_black,black_win_rate,games_as_white,wins_as_white,white_win_rate,avg_game_length
B3,Eval B,3,50,40,5,5,0.8,0.85,0.8889,20273.7115,3883.32,25,20,0.8,25,20,0.8,23.6
B2,Eval B,2,50,25,10,15,0.5,0.65,0.7143,8562.2576,254.19,25,10,0.4,25,15,0.6,35.1
A3,Eval A,3,50,25,15,10,0.5,0.6,0.625,40418.5438,4431.65,25,15,0.6,25,10,0.4,28.9
A1,Eval A,1,50,20,20,10,0.4,0.5,0.5,188.2727,65.48,25,5,0.2,25,15,0.6,27.2
A2,Eval A,2,50,10,20,20,0.2,0.4,0.3333,12109.1278,234.81,25,5,0.2,25,5,0.2,38.7
B1,Eval B,1,50,0,50,0,0.0,0.0,0.0,83.816,54.68,25,0,0.0,25,0,0.0,15.5
